episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1960,7519,0.050000000000000044,0.38444435596466064,0.0001900471543194726,0.0006274377810768783,0.9003837767204405,3,0.2,0 13 10 15
1961,7521,0.050000000000000044,0.23669050633907318,0.00019942766812164336,0.0034648894798010588,0.7995885665950395,1,0.06666666666666667,0 15
1962,7523,0.050000000000000044,0.09905785322189331,0.00017213169849128462,0.002730385400354862,0.7102124447359589,1,0.06666666666666667,0 15
1963,7527,0.050000000000000044,0.2849118709564209,0.00015287163842003793,0.0011575454846024513,0.9046695627688511,3,0.2,13 14 0 15
1964,7529,0.050000000000000044,0.12251240015029907,0.0001622113777557388,0.0032903882674872875,0.761178596687975,1,0.06666666666666667,0 15
1965,7531,0.050000000000000044,0.18965360522270203,0.00015805449220351875,0.002573377685621381,0.7079943261833531,1,0.06666666666666667,0 15
1966,7533,0.050000000000000044,0.15564492344856262,0.0001418769679730758,0.0013349374057725072,0.790675773986313,1,0.06666666666666667,0 15
1967,7535,0.050000000000000044,0.16447439789772034,0.00014931187615729868,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
1968,7540,0.050000000000000044,0.4173298478126526,0.00017419783107470722,0.001995932077988982,0.856101212963267,4,0.26666666666666666,11 13 0 2 15
1969,7543,0.050000000000000044,0.37743937969207764,0.0001795322411150361,0.0019669567700475454,0.8375651350291391,2,0.13333333333333333,0 13 15
1970,7547,0.050000000000000044,0.3760000467300415,0.00012611979400389828,0.0012752693146467209,0.8780217850835513,3,0.2,0 13 10 15
1971,7552,0.050000000000000044,0.3791298270225525,0.0001674666695180349,0.0009571747505106032,0.8754034078326719,4,0.26666666666666666,0 13 2 10 15
1972,7554,0.050000000000000044,0.21899893879890442,0.00015689923020545393,0.0019920608028769493,0.789990494813295,1,0.06666666666666667,0 15
1973,7556,0.050000000000000044,0.2642996311187744,0.00017699212185107172,0.003218446159735322,0.7966522244934776,1,0.06666666666666667,0 15
1974,7560,0.050000000000000044,0.3677142560482025,0.00013622482401842717,0.0009220205247402191,0.9319703066356116,3,0.2,0 12 4 15
1975,7562,0.050000000000000044,0.2005401849746704,0.00012215879542054608,0.003257201984524727,0.7500508179695442,1,0.06666666666666667,0 15
1976,7566,0.050000000000000044,0.34239691495895386,0.0001766660643625073,0.001410485478118062,0.8555048373345104,3,0.2,0 11 10 15
1977,7570,0.050000000000000044,0.3415016829967499,0.0001178161874122452,0.0011695181019604206,0.8797445310529999,3,0.2,0 12 11 15
1978,7571,0.050000000000000044,0.0,9.723224502522498e-05,0.3165327310562134,7.373513783613924e-05,0,0.0,15
1979,7573,0.050000000000000044,0.16447439789772034,0.00016308441263390705,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
1980,7576,0.050000000000000044,0.19379886984825134,0.0001688337215455249,0.001400588545948267,0.8633987777546661,2,0.13333333333333333,0 1 15
1981,7578,0.050000000000000044,0.2495211362838745,0.00015378899115603417,0.002150712301954627,0.7679219787539504,1,0.06666666666666667,0 15
1982,7580,0.050000000000000044,0.1711343228816986,0.00010382695836597122,0.002334018237888813,0.8169348388184947,1,0.06666666666666667,0 15
1983,7583,0.050000000000000044,0.43927448987960815,0.00025356942690753687,0.0008143529994413257,0.9070444910230024,2,0.13333333333333333,0 3 15
1984,7587,0.050000000000000044,0.32207170128822327,0.00014624949835706502,0.0025311834178864956,0.8340312766440559,3,0.2,0 7 9 15
1985,7591,0.050000000000000044,0.28065645694732666,0.00015432260988745838,0.0012767142616212368,0.8879100312074639,3,0.2,0 3 13 15
1986,7593,0.050000000000000044,0.23669050633907318,0.00010633467172738165,0.0034648894798010588,0.7995885665950395,1,0.06666666666666667,0 15
1987,7595,0.050000000000000044,0.17167341709136963,0.00014048325465410016,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
1988,7596,0.050000000000000044,0.0,0.00011607007763814181,0.3493407964706421,0.0001231957627576486,0,0.0,15
1989,7600,0.050000000000000044,0.29351550340652466,0.00014802160148974508,0.0014458316145464778,0.8887494149729698,3,0.2,13 0 10 15
1990,7603,0.050000000000000044,0.22559401392936707,0.00016002925500894585,0.0018707371782511473,0.8869417636222278,2,0.13333333333333333,0 2 15
1991,7606,0.050000000000000044,0.23916520178318024,0.00012596075733502707,0.0013097102055326104,0.858990595801141,2,0.13333333333333333,0 2 15
1992,7608,0.050000000000000044,0.15564492344856262,0.0001262771875190083,0.0013349374057725072,0.790675773986313,1,0.06666666666666667,0 15
