method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,6,6,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023183049634099007,0.8452402812303637,0.7867772307774173,0.9976816950365901,0.8452402812303637,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,6,7,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023624298628419638,0.8354856577468206,0.7734737990117996,0.997637570137158,0.8354856577468206,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,6,8,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019536111503839493,0.8687226652853217,0.8002531480513676,0.998046388849616,0.8687226652853217,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,6,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0019536111503839493,0.8687226652853217,0.8002531480513676,0.998046388849616,0.8687226652853217,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,,,
random,6,10,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017790700076147914,0.8727749611088269,0.8529331871472959,0.9982209299923852,0.8727749611088269,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,6,11,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017790700076147914,0.8727749611088269,0.8529331871472959,0.9982209299923852,0.8727749611088269,0.8888888888888888,0.8888888888888888,0 3,H00 H02,3,H02,,,,
random,6,12,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023183049634099007,0.8452402812303637,0.7867772307774173,0.9976816950365901,0.8452402812303637,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,,,
random,6,13,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023624298628419638,0.8354856577468206,0.7734737990117996,0.997637570137158,0.8354856577468206,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,,,
random,6,14,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001972580561414361,0.8671747058426228,0.8506241235767162,0.9980274194385856,0.8671747058426228,0.8888888888888888,0.8888888888888888,0 8,H00 H21,8,H21,,,,
random,6,15,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.001801196252927184,0.8735911623086431,0.857622770466217,0.9981988037470728,0.8735911623086431,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,,,
